Manga series,Author,Publisher,Demographic,No. of collected volumes,Serialized,Approximate sales in million,Average sales per volume in million,Link
Pokémon Adventures,"Hidenori Kusaka, Mato, Satoshi Yamamoto",Shogakukan,Children,59,1997–present,28,0.47,img/5.jpg
Yowamushi Pedal,Wataru Watanabe,Akita Shoten,Shōnen,80,2008–present,28,0.35,img/6.jpg
Sakigake!! Otokojuku,Akira Miyashita,Shueisha,Shōnen,34,1985–1991,27,0.79,img/7.jpg
Seito Shokun!,Yoko Shoji,Kodansha,Shōjo/Josei,83,1977–2019,27,0.33,img/8.jpg
Yūkan Club,Yukari Ichijo,Shueisha,Shōjo,19,1982–2002,27,1.42,img/9.jpg
Bari Bari Densetsu,Shuichi Shigeno,Kodansha,Shōnen,38,1983–1991,26,0.68,img/1.jpg
Blue Lock,"Muneyuki Kaneshiro, Yusuke Nomura",Kodansha,Shōnen,24,2018–present,26,1.08,img/2.jpg
Tsuribaka Nisshi,"Jūzō Yamasaki, Kenichi Kitami",Shogakukan,Seinen,106,1979–present,26,0.24,img/3.jpg
Angel Heart,Tsukasa Hojo,"Shinchosha, Tokuma Shoten",Seinen,54,2001–2017,25,0.46,img/4.jpg
Ashita no Joe,"Ikki Kajiwara, Tetsuya Chiba",Kodansha,Shōnen,20,1968–1973,25,1.25,img/5.jpg
Assassination Classroom,Yūsei Matsui,Shueisha,Shōnen,21,2012–2016,25,1.19,img/6.jpg
Blue Exorcist,Kazue Kato,Shueisha,Shōnen,28,2009–present,25,0.89,img/7.jpg
Boys Be...,"Masahiro Itabashi, Hiroyuki Tamakoshi",Kodansha,Shōnen,32,1991–1997,25,0.78,img/8.jpg
D.Gray-man,Katsura Hoshino,Shueisha,Shōnen,28,2004–present,25,0.89,img/9.jpg
Emblem Take 2 ,"Kazumasa Kiuchi, Jun Watanabe",Kodansha,Seinen,62,1990–2004,25,0.4,img/1.jpg
Flame of Recca,Nobuyuki Anzai,Shogakukan,Shōnen,33,1995–2002,25,0.75,img/2.jpg
Hikaru no Go,"Yumi Hotta, Takeshi Obata",Shueisha,Shōnen,23,1998–2003,25,1.08,img/3.jpg
Jigoku Sensei Nūbē,"Shō Makura, Takeshi Okano",Shueisha,Shōnen,31,1993–1999,25,0.81,img/4.jpg
Magi: The Labyrinth of Magic,Shinobu Ohtaka,Shogakukan,Shōnen,37,2009–2017,25,0.67,img/5.jpg
Maison Ikkoku,Rumiko Takahashi,Shogakukan,Seinen,15,1980–1987,25,1.66,img/6.jpg
Miyuki,Mitsuru Adachi,Shogakukan,Shōnen,12,1980–1984,25,2.08,img/7.jpg
Neon Genesis Evangelion,Yoshiyuki Sadamoto,Kadokawa Shoten,Shōnen,14,1994–2013,25,1.78,img/8.jpg
Oh My Goddess!,Kōsuke Fujishima,Kodansha,Seinen,48,1988–2014,25,0.52,img/9.jpg
Patalliro!,Mineo Maya,Hakusensha,Shōjo,101,1979–present,25,0.24,img/1.jpg
Parasyte,Hitoshi Iwaaki,Kodansha,Seinen,10,1988–1995,25,2.5,img/2.jpg
The Ping Pong Club,Minoru Furuya,Kodansha,Seinen,13,1993–1996,25,1.92,img/3.jpg
Saiyuki,Kazuya Minekura,"Square Enix, Ichijinsha",Shōnen/shōjo/Josei,27,1997–present,25,1.08,img/4.jpg
Toriko,Mitsutoshi Shimabukuro,Shueisha,Shōnen,43,2008–2016,25,0.58,img/5.jpg
Ahiru no Sora,Hinata Takeshi,Kodansha,Shōnen,51,2004–2019 (on hiatus),24,0.47,img/6.jpg
Chainsaw Man,Tatsuki Fujimoto,Shueisha,Shōnen,14,2018–present,24,1.71,img/7.jpg
Gantz,Hiroya Oku,Shueisha,Seinen,37,2000–2013,24,0.64,img/8.jpg
Golden Kamuy,Satoru Noda,Shueisha,Seinen,31,2014–2022,24,0.77,img/9.jpg
Zatch Bell!,Makoto Raiku,Shogakukan,Shōnen,33,2001–2007,23.8,0.72,img/1.jpg
Rave Master,Hiro Mashima,Kodansha,Shōnen,35,1999–2005,23.5,0.67,img/2.jpg
